ansatz,variant,role,n_qubits,depth,outcome,target,spec,spec_kind,time_controlled,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,bootstrap_seed,excluded_fraction,top_status
hea,vanilla_ls_nm,near-primary,6,8,r,C,C_given_G_nu,main,True,30,10,False,0.013351741782839602,-0.19402399717803942,0.24042766968760076,1870019271,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,8,r,C,C_given_G,overcontrol check,True,30,10,False,-0.04116151704647903,-0.2295088424817182,0.18140121969755943,2155734780,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,8,kappa,C,C_given_G_nu,main,False,30,26,True,-0.01563647575535764,-0.18138717786384503,0.15831024490258486,2297966188,0.0,ok
hea,vanilla_ls_nm,near-primary,6,8,kappa,C,C_given_G,overcontrol check,False,30,27,True,-0.024569188595903062,-0.1670647270896656,0.1270824296457493,1793732822,0.0,ok
hea,vanilla_ls_nm,near-primary,6,8,kappa,C,C_given_G_nu,main,True,30,10,False,0.09023604466876092,-0.2132506413307726,0.379742627815588,2423254270,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,8,kappa,C,C_given_G,overcontrol check,True,30,10,False,0.09060555923015383,-0.16088155873023,0.32598347000559275,1738017891,0.0,collinear
hea,vanilla_ls_nm,near-primary,8,4,r,C,C_given_G_nu,main,False,30,28,True,0.03416034776344817,-0.08159451080257081,0.14862802870531555,434371618,0.0,ok
hea,vanilla_ls_nm,near-primary,8,4,r,C,C_given_G,overcontrol check,False,30,30,True,-0.007986460974661559,-0.11631367158701122,0.10678066101976039,3126756846,0.0,ok
hea,vanilla_ls_nm,near-primary,8,4,r,C,C_given_G_nu,main,True,30,15,False,-0.07122432527825785,-0.22229218499863743,0.08563147032499689,580659973,0.0,collinear
hea,vanilla_ls_nm,near-primary,8,4,r,C,C_given_G,overcontrol check,True,30,16,False,-0.06434976157978711,-0.25263101451532877,0.11821172759305536,3075411381,0.0,ok
hea,vanilla_ls_nm,near-primary,8,4,kappa,C,C_given_G_nu,main,False,30,28,True,-0.11237467711553664,-0.24917755652606638,0.032471837971019706,569345077,0.0,ok
hea,vanilla_ls_nm,near-primary,8,4,kappa,C,C_given_G,overcontrol check,False,30,30,True,-0.08848087518110047,-0.22869719737570474,0.04731859215757253,1127197235,0.0,ok
hea,vanilla_ls_nm,near-primary,8,4,kappa,C,C_given_G_nu,main,True,30,15,False,0.0011713284522074908,-0.2611379195699752,0.2418927398282482,606993975,0.0,collinear
hea,vanilla_ls_nm,near-primary,8,4,kappa,C,C_given_G,overcontrol check,True,30,16,False,0.018740807130581832,-0.2416484851752749,0.26373161349665625,2118478932,0.0,ok
hea,vanilla_ls_nm,near-primary,8,6,r,C,C_given_G_nu,main,False,30,29,True,-0.17750723655160836,-0.3358337332388988,-0.00950732642336884,3029329653,0.0,ok
hea,vanilla_ls_nm,near-primary,8,6,r,C,C_given_G,overcontrol check,False,30,29,True,-0.1004182502381973,-0.28026067822304884,0.07539687617118694,1803427580,0.0,ok
hea,vanilla_ls_nm,near-primary,8,6,r,C,C_given_G_nu,main,True,30,19,False,-0.10705470941477051,-0.3212062455972295,0.1101094289690589,3058483654,0.0,ok
hea,vanilla_ls_nm,near-primary,8,6,r,C,C_given_G,overcontrol check,True,30,25,True,-0.0008529081958459476,-0.18811041509869506,0.17614651249281027,3510969134,0.0,ok
hea,vanilla_ls_nm,near-primary,8,6,kappa,C,C_given_G_nu,main,False,30,29,True,0.10339418220810603,-0.10062530578182688,0.2920612317844992,397255540,0.0,ok
hea,vanilla_ls_nm,near-primary,8,6,kappa,C,C_given_G,overcontrol check,False,30,29,True,0.01608708751116831,-0.18196668946420733,0.2214904400136486,1907650445,0.0,ok
hea,vanilla_ls_nm,near-primary,8,6,kappa,C,C_given_G_nu,main,True,30,19,False,0.1266368476035112,-0.10910590230629723,0.35978685602383176,685118798,0.0,ok
