basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_A_lite_seeds_identifiable,rho_A_lite_seeds_estimable,rho_A_lite_fraction_expected,rho_A_lite_cell_estimable,rho_A_lite_vif_median,rho_A_lite_vif_p90,rho_A_lite_kappa_median,rho_nu_lite_seeds_identifiable,rho_nu_lite_seeds_estimable,rho_nu_lite_fraction_expected,rho_nu_lite_cell_estimable,rho_nu_lite_vif_median,rho_nu_lite_vif_p90,rho_nu_lite_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
lite,hea,vanilla_ls_nm,6,6,30,30,30,18,0.6,False,7.512255015649817,31.526536290718603,5.497002037125061,30,18,0.6,False,7.512255015649817,31.526536290718603,5.497002037125062,rho_A_lite;rho_nu_lite,18,0.6,0.6,False,
lite,hea,vanilla_ls_nm,6,8,30,30,29,10,0.3333333333333333,False,20.590467465581277,153.36295643585524,9.450933810349621,30,11,0.36666666666666664,False,19.568817398447393,149.82873311467432,9.266193137536995,rho_A_lite;rho_nu_lite,10,0.3333333333333333,0.3333333333333333,False,rho_A_lite:A==G(target_control_duplicate) x1; rho_nu_lite:A==G(control_duplicate) x1
lite,hea,vanilla_ls_nm,8,4,30,30,30,26,0.8666666666666667,True,2.594729642838443,12.47579475888935,2.963909308867304,30,26,0.8666666666666667,True,2.594729642838443,12.47579475888935,2.9639093088673043,rho_A_lite;rho_nu_lite,26,0.8666666666666667,0.8666666666666667,True,
lite,hea,vanilla_ls_nm,8,6,30,30,30,26,0.8666666666666667,True,2.9926262234817234,11.918180568927776,3.224659931883995,30,26,0.8666666666666667,True,2.9926262234817234,11.918180568927767,3.224659931883995,rho_A_lite;rho_nu_lite,26,0.8666666666666667,0.8666666666666667,True,
lite,hea,vanilla_ls_nm,8,8,30,30,29,18,0.6,False,7.5435378542442795,63.66397121075961,5.326221145649046,30,19,0.6333333333333333,False,7.461613397118038,47.14559411928386,5.286094013870728,rho_A_lite;rho_nu_lite,18,0.6,0.6,False,rho_A_lite:A==G(target_control_duplicate) x1; rho_nu_lite:A==G(control_duplicate) x1
lite,hea,vanilla_ls_nm,10,4,30,30,30,26,0.8666666666666667,True,3.4974994102547665,10.3353708784611,3.531034471300382,30,26,0.8666666666666667,True,3.4974994102547665,10.3353708784611,3.5310344713003827,rho_A_lite;rho_nu_lite,26,0.8666666666666667,0.8666666666666667,True,
lite,hea,vanilla_ls_nm,10,6,30,30,30,28,0.9333333333333333,True,2.6972020924673457,6.806692177115926,2.9614970957215103,30,28,0.9333333333333333,True,2.6972020924673457,6.806692177115926,2.9614970957215085,rho_A_lite;rho_nu_lite,28,0.9333333333333333,0.9333333333333333,True,
lite,hea,vanilla_ls_nm,10,8,30,30,30,16,0.5333333333333333,False,9.205042628389482,16.750589544280682,6.085878643184724,30,16,0.5333333333333333,False,9.205042628389474,16.750589544280682,6.085878643184724,rho_A_lite;rho_nu_lite,16,0.5333333333333333,0.5333333333333333,False,
lite,hva,lso_grid,4,4,30,30,30,23,0.7666666666666667,True,4.3577889742794795,16.958090589338823,4.011015013588313,30,23,0.7666666666666667,True,4.357788974279481,16.958090589338823,4.0110150135883105,rho_A_lite;rho_nu_lite,23,0.7666666666666667,0.7666666666666667,True,
lite,hva,lso_grid,4,6,30,30,30,26,0.8666666666666667,True,3.429430249241871,11.92697639849536,3.419759380068111,30,26,0.8666666666666667,True,3.4294302492418716,11.92697639849536,3.419759380068113,rho_A_lite;rho_nu_lite,26,0.8666666666666667,0.8666666666666667,True,
